Address Line 1,City,CO2 Emission,County,Facility ID,Gas Code,Gas Name,Latitude,Longitude,State Name,Year,Zip Code,Facility Name,geometry,is_major_city,distance_to_nearest_major_city
1301 Finley Island Road,DECATUR,16.0,MORGAN,1005826,CH4,METHANE,34.64162,-87.05203,ALABAMA,2011,35601,ALPHAPET  INC.,POINT (812517.8497072357 1324990.816909879),no,172922.64297210376
1308 HIGHWAY 69 N,CELESTE,36589.5285,HUNT,1007854,CH4,METHANE,33.1543,-96.0935,TEXAS,2011,75423,WASTE MANAGEMENT PECAN PRAIRIE,POINT (-8666.310424992176 1120520.4557306212),no,74380.38299950157
18370 SOMONAUK ROAD,DEKALB,2052.836,DEKALB,1007724,CO2,CARBON DIOXIDE,41.897846,-88.685484,ILLINOIS,2011,60115,DEKALB COUNTY LANDFILL,POINT (602022.5380662967 2122664.1893477566),no,82606.01470255897
3979 ST RT 238 NE,BLOOMINGBURG,99.0,FAYETTE,1002989,BIOCO2,BIOGENIC CO2,39.596781,-83.392558,OHIO,2011,43106,VALERO BLOOMINBURG PLANT,POINT (1069724.8432716413 1912855.2756594499),no,55656.396506241195
7300 SOUTH KEDZIE AVENUE,CHICAGO,25.0,COOK,1002194,CH4,METHANE,41.759433,-87.704752,ILLINOIS,2011,60629,MONDELEZ GLOBAL LLC,POINT (683898.9595007314 2113865.2751167277),yes,0.0
3962 HOFFMAN RD,TOLEDO,73.4,LUCAS,1002581,CO2,CARBON DIOXIDE,41.700687,-83.50789,OHIO,2011,43611,HOFFMAN ROAD SANITARY LANDFILL,POINT (1029111.2671196591 2145160.66850464),no,83325.33708462295
3962 HOFFMAN RD,TOLEDO,39151.75,LUCAS,1002581,CH4,METHANE,41.700687,-83.50789,OHIO,2011,43611,HOFFMAN ROAD SANITARY LANDFILL,POINT (1029111.2671196591 2145160.66850464),no,83325.33708462295
9427 BEYERS ROAD,GEORGETOWN,125975.75,BROWN,1002425,CH4,METHANE,38.89689,-83.903255,OHIO,2011,45121,RUMPKE WASTE INC BROWN COUNTY SANITARY LANDFILL *,POINT (1036589.9394302439 1829416.04029904),no,58511.701502367556
14320 NORTH 216TH STREET,BENNINGTON,33998.355513,DOUGLAS,1007835,BIOCO2,BIOGENIC CO2,41.38508,-96.25341,NEBRASKA,2011,68007,DOUGLAS COUNTY RECYCLING LANDFILL,POINT (-21030.548522533572 2042130.6838302298),no,291025.94265205273
130 INLAND RD,VERSAILLES,44.25,NEW,1001087,CH4,METHANE,41.6242,-72.0417,CONNECTICUT,2011,6383,FUSION PAPERBOARD,POINT (1960635.9719543695 2317325.4909102023),no,56057.183814514574
10000 PFLUM RD NE,MANCELONA,19.966,KALKASKA,1005958,N2O,NITROUS OXIDE,44.84469,-84.96916,MICHIGAN,2011,49659,ANR PIPELINE BLUE LAKE COMPLEX GAS STORAGE FACILITY,POINT (868656.1775930288 2478905.6582157672),no,311295.2357552293
10000 PFLUM RD NE,MANCELONA,35597.7,KALKASKA,1005958,CO2,CARBON DIOXIDE,44.84469,-84.96916,MICHIGAN,2011,49659,ANR PIPELINE BLUE LAKE COMPLEX GAS STORAGE FACILITY,POINT (868656.1775930288 2478905.6582157672),no,311295.2357552293
5252 Cane Run Road,LOUISVILLE,10211.0,JEFFERSON,1006509,CH4,METHANE,38.1828,-85.8894,KENTUCKY,2011,40216,CANE RUN,POINT (875599.4261977157 1729935.289944795),no,160504.14018145704
3784 FM Rd 39,JEWETT,48.25,LEON,1005391,CH4,METHANE,31.320273,-96.173912,TEXAS,2011,75846,XTO - FARRAR PLANT,POINT (-16493.610387608816 916109.6713778174),no,173351.20569567996
12630 EARTH CARE RD.,HAGERSTOWN,20.0,WASHINGTON,1004663,CO2,CARBON DIOXIDE,39.662631,-77.815998,MARYLAND,2011,21740,ROUTE 40 WEST LANDFILL,POINT (1536595.0138791432 1996632.7386796437),no,109027.39435085664
170 NOBLE ROAD EAST,SHILOH,53.64,RICHLAND,1004850,N2O,NITROUS OXIDE,40.971102,-82.48517,OHIO,2011,44878,NOBLE ROAD LANDFILL (0370000134),POINT (1124392.1013559834 2075840.9240892143),no,87635.4450852865
